race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta,trifecta_payout,popularity
20260809_立川_6R,20260809,28,立川,6,2,013497,4,NORMAL,,4-3-1,1170,2
20260809_立川_6R,20260809,28,立川,6,5,013245,5,NORMAL,,4-3-1,1170,2
20260809_立川_7R,20260809,28,立川,7,1,015206,1,NORMAL,,1-5-2,17650,65
20260809_立川_7R,20260809,28,立川,7,5,013410,2,NORMAL,,1-5-2,17650,65
20260809_立川_7R,20260809,28,立川,7,2,014399,3,NORMAL,,1-5-2,17650,65
20260809_立川_7R,20260809,28,立川,7,4,015453,4,事故入,,1-5-2,17650,65
20260809_立川_7R,20260809,28,立川,7,3,015168,5,NORMAL,,1-5-2,17650,65
20260809_立川_7R,20260809,28,立川,7,6,015543,6,NORMAL,,1-5-2,17650,65
20260809_立川_8R,20260809,28,立川,8,2,014691,1,NORMAL,,2-7-1,4760,15
20260809_立川_8R,20260809,28,立川,8,7,015738,2,NORMAL,,2-7-1,4760,15
20260809_立川_8R,20260809,28,立川,8,1,014371,3,NORMAL,,2-7-1,4760,15
20260809_立川_8R,20260809,28,立川,8,5,013295,4,NORMAL,,2-7-1,4760,15
20260809_立川_8R,20260809,28,立川,8,4,013274,5,NORMAL,,2-7-1,4760,15
20260809_立川_8R,20260809,28,立川,8,3,014394,6,NORMAL,,2-7-1,4760,15
20260809_立川_8R,20260809,28,立川,8,6,013622,7,NORMAL,,2-7-1,4760,15
20260809_立川_9R,20260809,28,立川,9,3,015170,1,NORMAL,,3-1-6,3490,9
20260809_立川_9R,20260809,28,立川,9,1,014617,2,NORMAL,,3-1-6,3490,9
20260809_立川_9R,20260809,28,立川,9,6,013357,3,NORMAL,,3-1-6,3490,9
20260809_立川_9R,20260809,28,立川,9,4,013230,4,NORMAL,,3-1-6,3490,9
20260809_立川_9R,20260809,28,立川,9,2,013790,5,NORMAL,,3-1-6,3490,9
20260809_立川_9R,20260809,28,立川,9,7,015097,6,NORMAL,,3-1-6,3490,9
20260809_立川_9R,20260809,28,立川,9,5,013798,7,NORMAL,,3-1-6,3490,9
20260809_立川_10R,20260809,28,立川,10,1,013532,1,NORMAL,,1-4-5,14890,45
20260809_立川_10R,20260809,28,立川,10,4,013886,2,NORMAL,,1-4-5,14890,45
20260809_立川_10R,20260809,28,立川,10,5,015322,3,NORMAL,,1-4-5,14890,45
20260809_立川_10R,20260809,28,立川,10,3,014004,4,NORMAL,,1-4-5,14890,45
