レースキー,開催日,競輪場,レース番号,車番,登録番号,着順,結果ステータス,結果理由,3連単組番,3連単払戻,人気,払戻分類,is_20000_plus,is_50000_plus
20260717_松阪_11R,20260717,松阪,11,1,014190,2,NORMAL,,5-1-3,7510,(27),UNDER_10000,0,0
20260717_松阪_11R,20260717,松阪,11,3,015211,3,NORMAL,,5-1-3,7510,(27),UNDER_10000,0,0
20260717_松阪_11R,20260717,松阪,11,6,014199,4,NORMAL,,5-1-3,7510,(27),UNDER_10000,0,0
20260717_松阪_11R,20260717,松阪,11,4,014576,5,NORMAL,,5-1-3,7510,(27),UNDER_10000,0,0
20260717_松阪_11R,20260717,松阪,11,2,015608,6,NORMAL,,5-1-3,7510,(27),UNDER_10000,0,0
20260717_松阪_11R,20260717,松阪,11,7,014188,7,NORMAL,,5-1-3,7510,(27),UNDER_10000,0,0
20260717_松阪_12R,20260717,松阪,12,1,015449,1,NORMAL,,1-5-4,1720,(4),UNDER_10000,0,0
20260717_松阪_12R,20260717,松阪,12,5,014174,2,NORMAL,,1-5-4,1720,(4),UNDER_10000,0,0
20260717_松阪_12R,20260717,松阪,12,4,015441,3,NORMAL,,1-5-4,1720,(4),UNDER_10000,0,0
20260717_松阪_12R,20260717,松阪,12,7,013719,4,NORMAL,,1-5-4,1720,(4),UNDER_10000,0,0
20260717_松阪_12R,20260717,松阪,12,6,015546,5,NORMAL,,1-5-4,1720,(4),UNDER_10000,0,0
20260717_松阪_12R,20260717,松阪,12,2,014076,6,NORMAL,,1-5-4,1720,(4),UNDER_10000,0,0
20260717_松阪_12R,20260717,松阪,12,3,013442,7,NORMAL,,1-5-4,1720,(4),UNDER_10000,0,0
20260717_いわき平_1R,20260717,いわき平,1,2,015939,1,NORMAL,,2-1-3,1140,(5),UNDER_10000,0,0
20260717_いわき平_1R,20260717,いわき平,1,1,015855,2,NORMAL,,2-1-3,1140,(5),UNDER_10000,0,0
20260717_いわき平_1R,20260717,いわき平,1,3,015491,3,NORMAL,,2-1-3,1140,(5),UNDER_10000,0,0
20260717_いわき平_1R,20260717,いわき平,1,5,016036,4,NORMAL,,2-1-3,1140,(5),UNDER_10000,0,0
20260717_いわき平_1R,20260717,いわき平,1,4,015573,5,NORMAL,,2-1-3,1140,(5),UNDER_10000,0,0
20260717_いわき平_1R,20260717,いわき平,1,6,015774,6,NORMAL,,2-1-3,1140,(5),UNDER_10000,0,0
20260717_いわき平_1R,20260717,いわき平,1,7,015314,7,NORMAL,,2-1-3,1140,(5),UNDER_10000,0,0
20260717_いわき平_2R,20260717,いわき平,2,1,015225,1,NORMAL,,1-2-3,280,(1),UNDER_10000,0,0
20260717_いわき平_2R,20260717,いわき平,2,2,014963,2,NORMAL,,1-2-3,280,(1),UNDER_10000,0,0
20260717_いわき平_2R,20260717,いわき平,2,3,015756,3,NORMAL,,1-2-3,280,(1),UNDER_10000,0,0
20260717_いわき平_2R,20260717,いわき平,2,5,015941,4,NORMAL,,1-2-3,280,(1),UNDER_10000,0,0
20260717_いわき平_2R,20260717,いわき平,2,6,015942,5,NORMAL,,1-2-3,280,(1),UNDER_10000,0,0
20260717_いわき平_2R,20260717,いわき平,2,4,015682,6,NORMAL,,1-2-3,280,(1),UNDER_10000,0,0
20260717_いわき平_2R,20260717,いわき平,2,7,015402,7,NORMAL,,1-2-3,280,(1),UNDER_10000,0,0
20260717_いわき平_3R,20260717,いわき平,3,6,012956,1,NORMAL,,6-7-2,134280,(165),50000_PLUS,1,1
20260717_いわき平_3R,20260717,いわき平,3,7,015924,2,NORMAL,,6-7-2,134280,(165),50000_PLUS,1,1
20260717_いわき平_3R,20260717,いわき平,3,2,015567,3,NORMAL,,6-7-2,134280,(165),50000_PLUS,1,1
20260717_いわき平_3R,20260717,いわき平,3,4,014456,4,NORMAL,,6-7-2,134280,(165),50000_PLUS,1,1
20260717_いわき平_3R,20260717,いわき平,3,3,012861,5,NORMAL,,6-7-2,134280,(165),50000_PLUS,1,1
20260717_いわき平_3R,20260717,いわき平,3,5,013468,6,NORMAL,,6-7-2,134280,(165),50000_PLUS,1,1
20260717_いわき平_3R,20260717,いわき平,3,1,013970,7,NORMAL,,6-7-2,134280,(165),50000_PLUS,1,1
20260717_いわき平_4R,20260717,いわき平,4,3,013036,1,NORMAL,,3-5-4,30860,(102),20000_TO_49999,1,0
20260717_いわき平_4R,20260717,いわき平,4,5,013512,2,NORMAL,,3-5-4,30860,(102),20000_TO_49999,1,0
20260717_いわき平_4R,20260717,いわき平,4,4,013183,3,NORMAL,,3-5-4,30860,(102),20000_TO_49999,1,0
20260717_いわき平_4R,20260717,いわき平,4,1,012794,4,NORMAL,,3-5-4,30860,(102),20000_TO_49999,1,0
20260717_いわき平_4R,20260717,いわき平,4,2,015088,5,NORMAL,,3-5-4,30860,(102),20000_TO_49999,1,0
20260717_いわき平_4R,20260717,いわき平,4,6,015743,6,NORMAL,,3-5-4,30860,(102),20000_TO_49999,1,0
20260717_いわき平_4R,20260717,いわき平,4,7,012914,7,NORMAL,,3-5-4,30860,(102),20000_TO_49999,1,0
20260717_いわき平_5R,20260717,いわき平,5,4,014984,1,NORMAL,,4-3-2,8000,(27),UNDER_10000,0,0
20260717_いわき平_5R,20260717,いわき平,5,3,014153,2,NORMAL,,4-3-2,8000,(27),UNDER_10000,0,0
20260717_いわき平_5R,20260717,いわき平,5,2,014980,3,NORMAL,,4-3-2,8000,(27),UNDER_10000,0,0
20260717_いわき平_5R,20260717,いわき平,5,5,013660,4,NORMAL,,4-3-2,8000,(27),UNDER_10000,0,0
