feature,importance
L3_P3_style_逃,3
L1_P5_age,2
L1_P5_average_score,2
L1_P3_style_両,2
L5_P1_class,2
L2_P3_style_追,2
L1_P7_age,2
L1_P5_quinella_rate,2
L1_P3_is_seri,2
L3_P4_style_両,2
L1_P5_win_rate_diff_top,2
L3_P4_score_rank,2
L7_P1_style_両,2
L1_P4_trio_rate_rank,2
L3_P3_line_score_rank,2
L2_P5_quinella_rate_diff_top,2
L2_P4_start_count,2
L2_P4_back_count,2
L4_P3_previous_class,2
L1_P5_term,2
L1_P4_style_両,2
L1_P5_quinella_rate_rank,2
L4_P2_previous_class,2
L2_P1_line_score_rank,2
L5_P3_line_score_diff_top,2
L5_P2_line_score_diff_top,2
L5_P3_trio_rate_diff_top,2
L1_P6_mark_count,1
L3_P4_style_追,1
L5_P2_previous_class,1
L2_P5_average_score,1
L5_P3_score_rank,1
L3_P2_is_seri,1
straight_type,1
L5_P1_style_追,1
L1_P4_escape_count,1
L5_P2_line_win_rate_rank,1
L5_P1_style_逃,1
L6_P1_style_追,1
L1_P5_class,1
L1_P5_previous_class,1
L5_P3_line_win_rate_diff_top,1
L1_P3_style_逃,1
L1_P5_escape_count,1
L5_P3_score_diff_top,1
L5_P2_trio_rate_rank,1
L4_P3_style_追,1
L4_P3_style_両,1
L4_P2_line_score_rank,1
L5_P2_quinella_rate_rank,1
L5_P2_back_count,1
L4_P3_back_count,1
L5_P2_win_rate_rank,1
L3_P4_back_count,1
L4_P4_quinella_rate,1
L4_P3_makuri_count,1
L3_P4_win_rate,1
L3_P3_escape_count,1
L5_P2_line_trio_rate_rank,1
L3_P4_line_quinella_rate_rank,1
L5_P2_style_逃,1
L5_P3_sashi_count,1
L5_P3_line_quinella_rate_diff_top,1
L2_P4_escape_count,1
L5_P3_term,1
L5_P1_line_win_rate_rank,1
L5_P1_line_win_rate_diff_top,1
L1_P5_score_rank,1
L4_P1_line_win_rate_rank,1
L1_P6_score_rank,0
L1_P6_is_seri,0
L1_P6_style_逃,0
L1_P7_home_count,0
L1_P7_back_count,0
L1_P7_mark_count,0
L1_P7_sashi_count,0
L1_P7_makuri_count,0
L1_P7_escape_count,0
L1_P7_trio_rate,0
L1_P7_quinella_rate,0
L1_P7_win_rate,0
L1_P7_average_score,0
L1_P7_previous_class,0
L1_P7_class,0
L1_P7_term,0
L1_P6_line_trio_rate_diff_top,0
L1_P6_line_quinella_rate_diff_top,0
L1_P7_quinella_rate_diff_top,0
L1_P7_win_rate_diff_top,0
L1_P7_score_diff_top,0
L1_P7_line_trio_rate_rank,0
L1_P7_line_quinella_rate_rank,0
L1_P7_line_win_rate_rank,0
L1_P7_line_score_rank,0
L1_P7_trio_rate_rank,0
L1_P7_quinella_rate_rank,0
L1_P7_win_rate_rank,0
L1_P7_score_rank,0
L1_P7_is_seri,0
L1_P7_style_逃,0
L1_P7_style_追,0
L1_P7_style_両,0
L1_P7_start_count,0
L1_P8_sashi_count,0
L1_P8_makuri_count,0
L1_P8_escape_count,0
L1_P8_trio_rate,0
L1_P8_quinella_rate,0
L1_P8_win_rate,0
L1_P8_average_score,0
L1_P8_previous_class,0
L1_P8_class,0
L1_P8_term,0
L1_P8_age,0
L1_P7_line_trio_rate_diff_top,0
L1_P7_line_quinella_rate_diff_top,0
L1_P7_line_win_rate_diff_top,0
L1_P7_line_score_diff_top,0
L1_P7_trio_rate_diff_top,0
L1_P8_line_trio_rate_rank,0
L1_P8_line_quinella_rate_rank,0
L1_P8_line_win_rate_rank,0
L1_P8_line_score_rank,0
L1_P8_trio_rate_rank,0
L1_P8_quinella_rate_rank,0
L1_P8_win_rate_rank,0
L1_P8_score_rank,0
L1_P8_is_seri,0
L1_P8_style_逃,0
L1_P8_style_追,0
L1_P8_style_両,0
L1_P8_start_count,0
L1_P8_home_count,0
L1_P8_back_count,0
L1_P8_mark_count,0
L1_P9_trio_rate,0
L1_P9_quinella_rate,0
L1_P9_win_rate,0
L1_P9_average_score,0
L1_P9_previous_class,0
L1_P9_class,0
L1_P9_term,0
L1_P9_age,0
L1_P8_line_trio_rate_diff_top,0
L1_P8_line_quinella_rate_diff_top,0
L1_P8_line_win_rate_diff_top,0
L1_P8_line_score_diff_top,0
L1_P8_trio_rate_diff_top,0
L1_P8_quinella_rate_diff_top,0
L1_P8_win_rate_diff_top,0
L1_P8_score_diff_top,0
L1_P9_line_score_rank,0
L1_P9_trio_rate_rank,0
L1_P9_quinella_rate_rank,0
L1_P9_win_rate_rank,0
L1_P9_score_rank,0
L1_P9_is_seri,0
L1_P9_style_逃,0
L1_P9_style_追,0
L1_P9_style_両,0
L1_P9_start_count,0
L1_P9_home_count,0
L1_P9_back_count,0
L1_P9_mark_count,0
L1_P9_sashi_count,0
L1_P9_makuri_count,0
L1_P9_escape_count,0
L1_P5_is_seri,0
L1_P5_style_逃,0
L1_P5_style_追,0
L1_P5_style_両,0
L1_P5_home_count,0
L1_P5_back_count,0
L1_P9_quinella_rate_diff_top,0
L1_P9_win_rate_diff_top,0
L1_P9_score_diff_top,0
L1_P9_line_trio_rate_rank,0
L1_P9_line_quinella_rate_rank,0
L1_P9_line_win_rate_rank,0
L1_P9_line_trio_rate_diff_top,0
L1_P9_line_quinella_rate_diff_top,0
