transformed_feature,original_feature,importance
p2_previous_class_L1,p2_previous_class,0.00017634661153191947
p4_prefecture_三 重,p4_prefecture,0.000175636120065519
p4_prefecture_広 島,p4_prefecture,0.00017406782257538183
p5_prefecture_徳 島,p5_prefecture,0.0001734208212639726
p4_prefecture_和歌山,p4_prefecture,0.00017339593281805722
p3_prefecture_青 森,p3_prefecture,0.0001661456309214648
p2_prefecture_群 馬,p2_prefecture,0.0001649086773218865
p6_prefecture_長 崎,p6_prefecture,0.00016314445456090367
p3_prefecture_愛 媛,p3_prefecture,0.00016150929213789436
p3_prefecture_奈 良,p3_prefecture,0.00016101350046872844
p9_previous_class_A1,p9_previous_class,0.00016079311009328142
p6_class_L1,p6_class,0.0001592628307595203
p2_prefecture_広 島,p2_prefecture,0.00015850352503691485
p4_prefecture_東 京,p4_prefecture,0.000157845736394694
p3_prefecture_徳 島,p3_prefecture,0.00015737000538463736
p7_prefecture_新 潟,p7_prefecture,0.00015412958043460742
p6_prefecture_鹿児島,p6_prefecture,0.00015107132260033196
p7_prefecture_広 島,p7_prefecture,0.00014947742358138312
p9_prefecture_宮 城,p9_prefecture,0.00014901504530728666
p5_prefecture_山 口,p5_prefecture,0.0001486436550863806
p2_prefecture_大 分,p2_prefecture,0.00014805180380897683
p1_previous_class_L1,p1_previous_class,0.00014550684304397268
p9_class_S2,p9_class,0.000145212880414168
p7_prefecture_三 重,p7_prefecture,0.0001450453373110967
p2_prefecture_沖 縄,p2_prefecture,0.0001448492570488758
p6_previous_class_L1,p6_previous_class,0.00014466350721598341
p1_class_L1,p1_class,0.0001433170980090694
p2_prefecture_香 川,p2_prefecture,0.00014246444604419339
p6_prefecture_三 重,p6_prefecture,0.0001418805404736872
p1_prefecture_兵 庫,p1_prefecture,0.00014129990147971906
p5_prefecture_群 馬,p5_prefecture,0.00014108359366678006
p2_prefecture_秋 田,p2_prefecture,0.00013891412415337561
p2_prefecture_愛 媛,p2_prefecture,0.00013872247056575753
p1_prefecture_山 口,p1_prefecture,0.00013838891704881235
p1_prefecture_愛 媛,p1_prefecture,0.00013784998392253855
p4_prefecture_群 馬,p4_prefecture,0.0001368192817581756
p6_class___MISSING__,p6_class,0.0001365378195568704
p3_prefecture_福 井,p3_prefecture,0.00013195803686394056
p6_prefecture_高 知,p6_prefecture,0.00013067543658565225
p5_class_SS,p5_class,0.00013042790351353787
p5_prefecture_沖 縄,p5_prefecture,0.00012948524161355963
p6_prefecture_香 川,p6_prefecture,0.00012866069580647603
p1_prefecture_京 都,p1_prefecture,0.00012862214510333137
p5_prefecture_広 島,p5_prefecture,0.00012785244872249283
p6_prefecture_沖 縄,p6_prefecture,0.00012733636323080262
p5_prefecture_奈 良,p5_prefecture,0.00012665838771177404
p7_class_L1,p7_class,0.00012649456564480197
p5_prefecture_大 分,p5_prefecture,0.00012630805275089607
p6_prefecture_兵 庫,p6_prefecture,0.00012600022692018007
p1_prefecture_長 崎,p1_prefecture,0.00012197964256289741
p1_prefecture_和歌山,p1_prefecture,0.00012177824017482537
p4_prefecture_長 野,p4_prefecture,0.00011966307152876701
p1_prefecture_北海道,p1_prefecture,0.00011941021735487125
p6_prefecture_徳 島,p6_prefecture,0.00011887896809578994
p1_prefecture_徳 島,p1_prefecture,0.000118059329417725
p4_prefecture_愛 媛,p4_prefecture,0.00011783988725411428
p6_prefecture_大 阪,p6_prefecture,0.00011781078142200645
p6_prefecture_福 井,p6_prefecture,0.0001161459993022002
p2_prefecture_兵 庫,p2_prefecture,0.0001157139886596791
p2_prefecture_山 形,p2_prefecture,0.00011432002210058219
p7_previous_class_L1,p7_previous_class,0.00011167856001833015
p1_prefecture_広 島,p1_prefecture,0.00010870724814934018
