original_feature,logistic_abs_coefficient_sum,logistic_signed_coefficient_sum,logistic_expanded_feature_count,random_forest_importance_sum,random_forest_expanded_feature_count,logistic_normalized,random_forest_normalized,combined_score,combined_rank
p8_start_count,0.04446642566097086,0.04446642566097086,1,0.0015109614694372943,1,0.0017533008628249735,0.10632935371820794,0.05404132729051646,158
p9_age,0.0909645687264961,0.0909645687264961,1,0.0014664140034512598,1,0.0035867118722486724,0.10319446023224571,0.05339058605224719,159
p8_win_rate,0.05527065070185769,-0.05527065070185769,1,0.0014508049304404835,1,0.002179308953305895,0.10209601882328359,0.052137663888294744,160
p9_win_rate,0.06461304783156782,-0.06461304783156782,1,0.0014241554479443685,1,0.0025476775078927204,0.10022064191390953,0.05138415971090113,161
p9_top3_rate,0.050454492584730656,-0.050454492584730656,1,0.001328408722670844,1,0.001989408954447387,0.09348275506179801,0.047736082008122696,162
p9_graduation_term,0.05792078344647399,0.05792078344647399,1,0.0012024789095535027,1,0.0022838030735026263,0.0846208244874808,0.04345231378049171,163
p9_back_count,0.7939933952153737,-0.7939933952153737,1,0.0007865972199826077,1,0.031306975638708226,0.0553544056079987,0.043330690623353464,164
p8_back_count,0.23905254667239456,0.23905254667239456,1,0.0010237307509800087,1,0.009425786536944366,0.07204196224388065,0.04073387439041251,165
p8_home_count,0.2314133934876464,-0.2314133934876464,1,0.0009736286771198879,1,0.009124576496537924,0.06851617999115879,0.03882037824384836,166
p8_recent_finish_1,0.007426621084910871,0.007426621084910871,1,0.0010718173289218566,1,0.00029282994894454207,0.07542591005360283,0.037859370001273686,167
p8_sashi_count,0.3414349574772074,0.3414349574772074,1,0.0008217020232717061,1,0.01346270127731075,0.057824800202193584,0.035643750739752164,168
p9_home_count,0.34208046036286704,0.34208046036286704,1,0.0008038603411735625,1,0.013488153306556635,0.05656924566614851,0.03502869948635257,169
p9_start_count,0.07584357347707564,0.07584357347707564,1,0.0009279925048634457,1,0.002990494532458057,0.06530467208685238,0.03414758330965522,170
p8_recent_finish_3,0.11000949641741631,0.11000949641741631,1,0.0009073607136323988,1,0.004337648959198705,0.06385277204041162,0.03409521049980516,171
p9_recent_finish_3,0.15373190370726172,-0.15373190370726172,1,0.0008308027417027151,1,0.00606161335000774,0.05846523579814624,0.03226342457407699,172
p9_makuri_count,0.1882900610187751,0.1882900610187751,1,0.0007298548978392111,1,0.007424233487139641,0.05136133592090427,0.029392784704021957,173
p8_makuri_count,0.045937664429073016,0.045937664429073016,1,0.0007925595372365401,1,0.0018113114666275447,0.055773985692002856,0.0287926485793152,174
p9_mark_count,0.3738968128944796,-0.3738968128944796,1,0.0005559095624316869,1,0.014742664716377064,0.039120457863923125,0.026931561290150095,175
p9_recent_finish_2,0.010736832170209001,-0.010736832170209001,1,0.0007406763064254998,1,0.00042335080520216836,0.052122859893934004,0.026273105349568088,176
p8_recent_finish_2,0.08312329603418897,0.08312329603418897,1,0.000666489101412259,1,0.0032775323064817077,0.046902159219047966,0.025089845762764837,177
p9_recent_finish_1,0.01582579935118181,-0.01582579935118181,1,0.0006956268490963343,1,0.0006240076022498128,0.04895264028207981,0.024788323942164812,178
p9_nige_count,0.6035017682658782,0.6035017682658782,1,0.00035556754051277467,1,0.02379593491692984,0.025021992652119757,0.024408963784524798,179
p8_mark_count,0.37036367446367585,0.37036367446367585,1,0.0003812541069539012,1,0.014603353886528973,0.02682960724995722,0.020716480568243097,180
p8_nige_count,0.17410264810232592,-0.17410264810232592,1,0.0003395892527531285,1,0.006864827082466605,0.023897568869401163,0.015381197975933885,181
